Symbol,Type,EntryTimeUTC,EntryPrice,LotSize,SL,TP,ExitTimeUTC,ExitPrice,Status,Commission,PnL_Currency,BalanceAfterTrade
XAUUSD,SELL,2025-04-04 12:55:00+00:00,3085.566,0.01,3098.51,3033.79,2025-04-04 13:05:00+00:00,3080.919,SL_HIT,0.11,4.536999999999934,2743.132713975432
XAUUSD,SELL,2025-04-04 13:30:00+00:00,3070.869,0.01,3086.315,3009.085,2025-04-04 14:20:00+00:00,3058.375,SL_HIT,0.11,12.384000000000142,2755.516713975432
XAUUSD,SELL,2025-04-04 14:30:00+00:00,3069.436,0.01,3084.457,3009.352,2025-04-04 14:50:00+00:00,3047.314,SL_HIT,0.11,22.0120000000003,2777.5287139754323
USOIL,SELL,2025-04-04 14:55:00+00:00,61.512,0.01,62.109,59.124,2025-04-04 15:00:00+00:00,62.109,SL_HIT,0.16,-6.130000000000012,2771.398713975432
BTCXAU,BUY,2025-04-05 09:15:00+00:00,27.49199,0.01,27.45632,27.63467,2025-04-05 10:20:00+00:00,27.53446,SL_HIT,0.2,1.230655462199933,2772.6293694376322
BTCUSD,SELL,2025-04-05 12:30:00+00:00,83374.9,0.01,83491.47,82908.62,2025-04-05 13:15:00+00:00,82908.62,TP_HIT,0.16,4.502799999999988,2777.1321694376325
BTCUSD,SELL,2025-04-05 13:25:00+00:00,83374.9,0.01,83488.65,82919.9,2025-04-05 13:30:00+00:00,82919.9,TP_HIT,0.16,4.39,2781.5221694376323
BTCJPY,SELL,2025-04-06 07:30:00+00:00,12201775.0,0.01,12218365.0,12135415.0,2025-04-06 08:35:00+00:00,12177085.0,SL_HIT,0.21,1.4798689992197445,2783.002038436852
ETHUSD,SELL,2025-04-06 09:40:00+00:00,1792.19,0.1,1796.79,1773.79,2025-04-06 10:50:00+00:00,1790.67,SL_HIT,0.3,-0.1480000000000018,2782.854038436852
BTCUSD,SELL,2025-04-06 11:15:00+00:00,82675.46,0.01,82823.52,82083.22,2025-04-06 12:00:00+00:00,82823.52,SL_HIT,0.16,-1.6405999999999767,2781.213438436852
ETHUSD,SELL,2025-04-06 13:00:00+00:00,1781.41,0.1,1786.05,1762.85,2025-04-06 13:35:00+00:00,1762.85,TP_HIT,0.3,1.5560000000000174,2782.769438436852
ETHUSD,SELL,2025-04-06 13:45:00+00:00,1777.21,0.1,1782.4,1756.45,2025-04-06 13:50:00+00:00,1756.45,TP_HIT,0.3,1.7759999999999991,2784.545438436852
AUDJPY,SELL,2025-04-07 00:15:00+00:00,86.809,0.01,87.184,85.309,2025-04-07 00:25:00+00:00,87.184,SL_HIT,0.09,-2.656629707198883,2781.8888087296527
BTCJPY,SELL,2025-04-07 03:10:00+00:00,11483527.0,0.01,11558609.0,11183199.0,2025-04-07 04:00:00+00:00,11383689.0,SL_HIT,0.21,6.62325804552859,2788.512066775181
BTCJPY,SELL,2025-04-07 04:15:00+00:00,11300775.0,0.01,11372505.0,11013855.0,2025-04-07 05:10:00+00:00,11265326.0,SL_HIT,0.21,2.216252173079819,2790.728318948261
BTCJPY,SELL,2025-04-07 06:15:00+00:00,11162931.0,0.01,11246418.0,10828983.0,2025-04-07 06:45:00+00:00,10828983.0,TP_HIT,0.21,22.646556198924067,2813.374875147185
GBPUSD,SELL,2025-04-07 08:10:00+00:00,1.28943,0.01,1.2911,1.28275,2025-04-07 10:20:00+00:00,1.28573,SL_HIT,0.09,3.6100000000000367,2816.984875147185
